Category: All categories,,,
,,,
Week,milkshake: (United States),breakup: (United States),hamburger: (United States)
1/28/2024,24,19,69
2/4/2024,23,39,71
2/11/2024,19,21,66
2/18/2024,22,18,72
2/25/2024,21,19,70
3/3/2024,23,19,71
3/10/2024,25,19,70
3/17/2024,23,20,67
3/24/2024,26,18,68
3/31/2024,23,18,65
4/7/2024,22,18,70
4/14/2024,26,19,69
4/21/2024,24,19,70
4/28/2024,23,18,71
5/5/2024,22,19,67
5/12/2024,24,18,73
5/19/2024,24,16,79
5/26/2024,27,17,100
6/2/2024,29,19,77
6/9/2024,30,18,74
6/16/2024,29,23,74
6/23/2024,29,19,74
6/30/2024,29,18,91
7/7/2024,28,18,70
7/14/2024,28,17,70
7/21/2024,27,17,74
7/28/2024,26,18,70
8/4/2024,25,17,68
8/11/2024,39,21,70
8/18/2024,30,19,72
8/25/2024,30,18,70
9/1/2024,24,34,72
9/8/2024,24,19,67
9/15/2024,22,18,73
9/22/2024,22,18,67
9/29/2024,21,19,67
10/6/2024,23,19,67
10/13/2024,21,17,68
10/20/2024,22,21,69
10/27/2024,19,19,65
11/3/2024,21,18,62
11/10/2024,27,18,64
11/17/2024,24,18,66
11/24/2024,21,18,54
12/1/2024,21,19,60
12/8/2024,22,20,60
12/15/2024,21,18,61
12/22/2024,22,17,54
12/29/2024,24,21,69
1/5/2025,21,17,75
1/12/2025,21,20,73
1/19/2025,21,17,77
1/26/2025,21,23,76
2/2/2025,22,19,72
2/9/2025,20,20,71
2/16/2025,23,18,77
2/23/2025,22,17,69
