Category: All categories,,,
,,,
Region,milkshake: (2/1/24 - 2/28/25),hamburger: (2/1/24 - 2/28/25),Breakup: (2/1/24 - 2/28/25)
North Carolina,23%,42%,35%
South Carolina,21%,49%,30%
Pennsylvania,22%,35%,43%
Georgia,22%,40%,38%
Tennessee,19%,45%,36%
Alabama,17%,54%,29%
West Virginia,16%,54%,30%
Virginia,20%,39%,41%
Maryland,22%,33%,45%
Delaware,21%,36%,43%
Kentucky,15%,51%,34%
Ohio,15%,49%,36%
Florida,18%,39%,43%
Indiana,14%,50%,36%
Mississippi,13%,57%,30%
Oregon,15%,43%,42%
New Jersey,18%,28%,54%
Idaho,12%,53%,35%
Washington,15%,42%,43%
Illinois,15%,40%,45%
New Hampshire,16%,41%,43%
Missouri,12%,51%,37%
Utah,13%,48%,39%
District of Columbia,18%,28%,54%
Arizona,13%,46%,41%
Connecticut,14%,36%,50%
Louisiana,11%,53%,36%
Texas,13%,48%,39%
Michigan,12%,48%,40%
Nevada,13%,45%,42%
Arkansas,11%,55%,34%
New York,15%,34%,51%
Massachusetts,15%,33%,52%
Colorado,12%,45%,43%
Vermont,14%,44%,42%
Rhode Island,16%,36%,48%
California,13%,39%,48%
Alaska,12%,48%,40%
Montana,10%,58%,32%
Maine,12%,50%,38%
Oklahoma,8%,59%,33%
Wyoming,8%,59%,33%
Nebraska,8%,59%,33%
Kansas,8%,59%,33%
Hawaii,9%,52%,39%
Iowa,9%,57%,34%
New Mexico,10%,46%,44%
Minnesota,8%,54%,38%
Wisconsin,8%,54%,38%
North Dakota,7%,61%,32%
South Dakota,6%,67%,27%
